num_colors,c1_h,c1_s,c1_v,c1_L,c1_a,c1_b,c2_h,c2_s,c2_v,c2_L,c2_a,c2_b,c3_h,c3_s,c3_v,c3_L,c3_a,c3_b,c4_h,c4_s,c4_v,c4_L,c4_a,c4_b,c5_h,c5_s,c5_v,c5_L,c5_a,c5_b,target_score
5,286.76,0.009,0.989,98.42,1.0,-0.89,286.76,0.048,0.936,91.28,5.02,-4.46,286.76,0.54,0.738,50.04,48.52,-40.15,316.76,0.64,0.712,46.84,56.02,-22.04,76.76,0.811,0.944,88.67,-41.71,79.62,5.47
5,4.78,0.9,0.9,49.84,68.94,56.07,155.5,0.011,0.923,92.99,-1.07,0.21,155.5,0.647,0.737,68.7,-45.42,15.39,200.5,0.647,0.615,48.49,-10.06,-24.93,335.5,0.809,0.922,52.89,73.76,4.03,1.0
5,347.63,0.04,0.965,94.27,3.7,0.2,347.63,0.008,0.955,95.49,0.7,0.03,347.63,0.676,0.637,39.14,46.8,11.84,17.63,0.733,0.552,37.66,28.59,32.09,347.63,0.2,0.5,45.8,11.11,0.92,7.63
5,349.05,0.039,0.997,97.11,3.6,0.31,349.05,0.072,0.948,90.75,6.43,0.59,349.05,0.869,0.627,34.37,54.4,23.9,34.05,0.608,0.788,65.13,12.45,43.86,169.05,0.878,0.854,78.29,-51.44,4.91,5.19
5,347.49,0.221,0.078,5.02,1.85,0.12,347.49,0.159,0.137,11.57,2.94,0.19,347.49,0.506,0.727,50.79,39.83,6.75,17.49,0.479,0.502,40.24,15.84,17.8,197.49,0.84,0.942,69.44,-16.15,-39.41,10.0
5,41.71,0.273,0.112,9.48,-0.07,3.87,41.71,0.166,0.126,11.61,-0.09,2.82,41.71,0.624,0.698,61.49,3.83,44.93,86.71,0.637,0.582,56.78,-30.18,44.08,251.71,0.894,0.824,29.82,64.83,-86.32,4.08
5,259.82,0.012,0.963,95.85,0.83,-1.28,259.82,0.003,0.957,95.95,0.23,-0.35,259.82,0.544,0.963,57.32,45.89,-61.11,304.82,0.413,0.691,53.99,39.24,-23.56,79.82,0.902,0.982,90.69,-50.2,85.07,1.0
5,27.71,0.014,0.958,95.73,0.35,1.01,27.71,0.074,0.965,93.99,1.89,5.27,27.71,0.753,0.861,62.98,28.4,53.85,342.71,0.487,0.625,44.8,34.67,1.89,177.71,0.908,0.961,87.81,-48.52,-9.51,2.29
5,326.46,0.1,0.4,40.11,5.23,-1.77,326.46,0.1,0.4,40.11,5.23,-1.77,326.46,0.1,0.4,40.11,5.23,-1.77,11.46,0.1,0.4,40.5,2.92,2.31,176.46,0.1,0.4,42.33,-4.03,-1.0,1.0
5,23.36,0.013,0.962,96.13,0.42,0.81,23.36,0.056,0.957,93.8,1.89,3.55,23.36,0.559,0.899,69.32,24.34,38.17,68.36,0.644,0.651,65.09,-20.04,51.69,173.36,0.807,0.869,80.06,-46.89,-2.55,2.08
5,52.16,0.198,0.149,14.53,-1.01,4.51,52.16,0.148,0.187,19.22,-0.95,4.11,52.16,0.805,0.149,13.01,-2.35,15.86,97.16,0.721,0.641,60.56,-43.27,51.34,202.16,0.927,0.907,60.25,-4.33,-48.95,4.82
5,14.68,0.218,0.118,9.31,2.08,2.02,14.68,0.103,0.171,16.55,1.31,1.29,14.68,0.591,0.118,6.42,5.74,4.38,329.68,0.776,0.619,36.66,54.01,-5.88,224.68,0.987,0.828,33.0,47.72,-81.64,1.0
5,252.13,0.9,0.9,32.72,69.91,-92.66,332.89,0.232,0.202,17.41,6.69,-1.41,332.89,0.722,0.759,46.06,59.74,-3.49,302.89,0.799,0.79,49.38,75.39,-44.04,152.89,0.98,0.927,82.83,-70.09,37.66,4.25
5,280.76,0.228,0.058,3.56,1.26,-1.29,280.76,0.132,0.21,19.88,3.8,-3.73,280.76,0.743,0.603,33.14,51.63,-47.09,250.76,0.776,0.792,33.11,54.73,-76.11,70.76,0.832,0.91,86.89,-33.63,79.87,5.31
5,358.0,0.135,0.052,3.43,0.54,0.16,358.0,0.199,0.138,11.17,3.46,1.11,358.0,0.647,0.823,50.9,53.68,26.82,43.0,0.663,0.67,59.33,3.01,46.72,358.0,0.2,0.5,45.68,10.34,3.4,6.35
5,227.21,0.259,0.1,6.7,0.73,-3.5,227.21,0.215,0.169,14.21,1.08,-5.15,227.21,0.578,0.817,50.17,18.91,-51.94,272.21,0.629,0.731,42.37,48.5,-51.56,227.21,0.2,0.5,45.6,2.53,-11.79,5.58
5,269.18,0.048,0.967,93.69,4.01,-4.98,269.18,0.044,0.946,92.14,3.65,-4.54,269.18,0.892,0.623,26.39,55.5,-61.38,299.18,0.554,0.755,53.57,56.55,-36.95,119.18,0.834,0.911,81.05,-76.92,72.53,3.62
5,75.21,0.1,0.4,42.68,-3.06,5.42,75.21,0.1,0.4,42.68,-3.06,5.42,75.21,0.1,0.4,42.68,-3.06,5.42,105.21,0.1,0.4,42.26,-5.1,4.75,255.21,0.1,0.4,39.55,3.23,-5.45,1.0
5,29.37,0.0,0.981,98.35,0.01,0.02,29.37,0.016,0.906,91.07,0.31,1.07,29.37,0.659,0.615,48.7,16.05,36.49,74.37,0.535,0.613,61.29,-20.21,40.92,29.37,0.2,0.5,49.07,2.85,8.76,6.71
5,309.75,0.15,0.054,3.56,0.9,-0.53,309.75,0.161,0.174,15.76,4.68,-2.7,309.75,0.631,0.848,56.37,65.98,-33.2,264.75,0.486,0.687,45.33,32.45,-40.35,99.75,0.81,0.906,82.12,-64.12,72.76,10.0
